 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        2.69053e-25               0.128122               0.610211
         200      0.030      15        2.45837e-25               0.132274               0.607581
         200      0.030      30        2.26604e-25               0.123059               0.631743
         200      0.030      45        2.10717e-25               0.102846               0.653994
         200      0.030      60        1.97672e-25               0.076728               0.648120
         200      0.030      75        1.87069e-25               0.050750               0.588972
         200      0.060       0        3.91527e-25               0.188461               0.717261
         200      0.060      15        3.57743e-25               0.194132               0.703228
         200      0.060      30        3.29756e-25               0.181509               0.722001
         200      0.060      45        3.06637e-25               0.153375               0.697744
         200      0.060      60        2.87653e-25               0.116086               0.679299
         200      0.060      75        2.72223e-25               0.077907               0.579132
         200      0.070       0        5.20426e-25               0.213599               0.762869
         200      0.070      15        4.75519e-25               0.219823               0.741237
         200      0.070      30        4.38318e-25               0.205956               0.736448
         200      0.070      45        4.07588e-25               0.174842               0.725058
         200      0.070      60        3.82354e-25               0.133154               0.713696
         200      0.070      75        3.61845e-25               0.089933               0.664696
         200      0.075       0        6.18229e-25               0.227190               0.785009
         200      0.075      15        5.64883e-25               0.233691               0.764961
         200      0.075      30         5.2069e-25               0.219195               0.766655
         200      0.075      45        4.84186e-25               0.186551               0.746086
         200      0.075      60         4.5421e-25               0.142554               0.730077
         200      0.075      75        4.29845e-25               0.096622               0.576892
         200      0.080       0        7.49204e-25               0.241474               0.794546
         200      0.080      15        6.84557e-25               0.248253               0.782364
         200      0.080      30        6.31002e-25               0.233129               0.775798
         200      0.080      45        5.86764e-25               0.198938               0.769633
         200      0.080      60        5.50437e-25               0.152567               0.717048
         200      0.080      75        5.20911e-25               0.103799               0.625540
         200      0.100       0         1.9725e-24               0.305570               0.855202
         200      0.100      15         1.8023e-24               0.313405               0.852005
         200      0.100      30         1.6613e-24               0.295874               0.843860
         200      0.100      45        1.54483e-24               0.255547               0.825730
         200      0.100      60        1.44919e-24               0.199264               0.776257
         200      0.100      75        1.37145e-24               0.138000               0.704451
         300      0.030       0        1.23906e-24               0.196989               0.631865
         300      0.030      15        1.13214e-24               0.202853               0.624342
         300      0.030      30        1.04357e-24               0.189796               0.637289
         300      0.030      45        9.70407e-25               0.160630               0.643977
         300      0.030      60        9.10328e-25               0.121830               0.633686
         300      0.030      75        8.61498e-25               0.081938               0.568377
         300      0.060       0        1.80308e-24               0.279368               0.740686
         300      0.060      15         1.6475e-24               0.286809               0.752073
