 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        2.76545e-25               0.130041               0.610987
         200      0.030      15        2.50464e-25               0.134454               0.609649
         200      0.030      30        2.33349e-25               0.126509               0.631091
         200      0.030      45        2.23639e-25               0.108056               0.660757
         200      0.030      60        2.20481e-25               0.083339               0.660862
         200      0.030      75        2.23603e-25               0.057682               0.611949
         200      0.060       0        4.01235e-25               0.186823               0.718051
         200      0.060      15        3.63394e-25               0.192736               0.703672
         200      0.060      30        3.38562e-25               0.182071               0.726897
         200      0.060      45        3.24475e-25               0.156971               0.706030
         200      0.060      60        3.19893e-25               0.122603               0.699532
         200      0.060      75        3.24421e-25               0.085991               0.610866
         200      0.070       0        5.17401e-25               0.210398               0.763980
         200      0.070      15        4.68605e-25               0.216859               0.740647
         200      0.070      30        4.36584e-25               0.205198               0.740551
         200      0.070      45        4.18417e-25               0.177602               0.733283
         200      0.070      60        4.12509e-25               0.139464               0.725827
         200      0.070      75        4.18349e-25               0.098382               0.710644
         200      0.075       0        6.02068e-25               0.223140               0.786211
         200      0.075      15        5.45286e-25               0.229878               0.765936
         200      0.075      30        5.08025e-25               0.217712               0.768772
         200      0.075      45        4.86887e-25               0.188833               0.755968
         200      0.075      60        4.80011e-25               0.148719               0.754906
         200      0.075      75        4.86807e-25               0.105245               0.610522
         200      0.080       0        7.12086e-25               0.236536               0.794354
         200      0.080      15        6.44929e-25               0.243551               0.782300
         200      0.080      30        6.00859e-25               0.230878               0.777137
         200      0.080      45        5.75857e-25               0.200701               0.777278
         200      0.080      60        5.67725e-25               0.158559               0.742424
         200      0.080      75        5.75763e-25               0.112588               0.674687
         200      0.100       0        1.63972e-24               0.296763               0.853913
         200      0.100      15        1.48508e-24               0.304851               0.851014
         200      0.100      30         1.3836e-24               0.290213               0.844443
         200      0.100      45        1.32602e-24               0.254850               0.828641
         200      0.100      60         1.3073e-24               0.204243               0.784017
         200      0.100      75        1.32581e-24               0.147347               0.733126
         300      0.030       0        1.21668e-24               0.200536               0.637948
         300      0.030      15        1.10194e-24               0.206773               0.626041
         300      0.030      30        1.02664e-24               0.195520               0.643043
         300      0.030      45         9.8392e-25               0.168949               0.659100
         300      0.030      60        9.70027e-25               0.132370               0.654126
         300      0.030      75        9.83759e-25               0.093151               0.588322
         300      0.060       0        1.76527e-24               0.278254               0.743630
         300      0.060      15        1.59878e-24               0.286044               0.758484
         300      0.060      30        1.48953e-24               0.271955               0.746540
         300      0.060      45        1.42755e-24               0.238070               0.733627
         300      0.060      60         1.4074e-24               0.189946               0.697043
         300      0.060      75        1.42732e-24               0.136350               0.666362
         300      0.070       0        2.27635e-24               0.308984               0.796033
         300      0.070      15        2.06167e-24               0.317255               0.801875
         300      0.070      30        1.92079e-24               0.302280               0.800086
         300      0.070      45        1.84086e-24               0.265998               0.762801
         300      0.070      60        1.81487e-24               0.213812               0.728750
         300      0.070      75        1.84056e-24               0.154769               0.629798
         300      0.075       0        2.64885e-24               0.325237               0.832650
         300      0.075      15        2.39904e-24               0.333734               0.815204
         300      0.075      30         2.2351e-24               0.318343               0.776788
         300      0.075      45         2.1421e-24               0.280909               0.765222
         300      0.075      60        2.11185e-24               0.226702               0.730506
         300      0.075      75        2.14175e-24               0.164845               0.580977
         300      0.080       0        3.13288e-24               0.342063               0.833881
         300      0.080      15        2.83742e-24               0.350770               0.823458
         300      0.080      30        2.64353e-24               0.334989               0.785733
         300      0.080      45        2.53353e-24               0.296449               0.782114
         300      0.080      60        2.49776e-24               0.240245               0.732572
         300      0.080      75        2.53312e-24               0.175532               0.612726
         300      0.100       0        7.21408e-24               0.414569               0.882248
         300      0.100      15        6.53372e-24               0.423933               0.886853
         300      0.100      30        6.08725e-24               0.406923               0.870389
         300      0.100      45        5.83396e-24               0.364645               0.856801
         300      0.100      60        5.75158e-24               0.301044               0.810799
         300      0.100      75        5.83301e-24               0.224799               0.659622
         400      0.030       0        1.59521e-23               0.328588               0.556212
