 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        2.21099e-25               0.002582               0.407273
         200      0.030      15         1.3556e-25               0.001758               0.398730
         200      0.030      30         7.4764e-26               0.001693               0.382377
         200      0.030      45        3.70913e-26               0.002309               0.374461
         200      0.030      60        1.65527e-26               0.004454               0.368567
         200      0.030      75              1e-26               0.012097               0.306016
         200      0.060       0        8.84573e-25               0.009491               0.563314
         200      0.060      15        5.42348e-25               0.006476               0.569003
         200      0.060      30        2.99116e-25               0.006240               0.536582
         200      0.060      45        1.48395e-25               0.008496               0.457487
         200      0.060      60         6.6224e-26               0.016291               0.366760
         200      0.060      75        2.65846e-26               0.043365               0.283720
         200      0.070       0        1.55795e-24               0.012331               0.628354
         200      0.070      15        9.55205e-25               0.008421               0.627776
         200      0.070      30        5.26815e-25               0.008116               0.590232
         200      0.070      45        2.61359e-25               0.011042               0.584758
         200      0.070      60        1.16636e-25               0.021123               0.390600
         200      0.070      75        4.68218e-26               0.055772               0.380653
         200      0.075       0        2.10823e-24               0.013613               0.663486
         200      0.075      15         1.2926e-24               0.009300               0.638781
         200      0.075      30        7.12893e-25               0.008963               0.630662
         200      0.075      45        3.53674e-25               0.012191               0.582763
         200      0.075      60        1.57834e-25               0.023296               0.389365
         200      0.075      75          6.336e-26               0.061287               0.268009
         200      0.080       0        2.89017e-24               0.014711               0.702656
         200      0.080      15        1.77201e-24               0.010054               0.679473
         200      0.080      30        9.77302e-25               0.009690               0.625460
         200      0.080      45        4.84851e-25               0.013176               0.574504
         200      0.080      60        2.16374e-25               0.025156               0.426809
         200      0.080      75        8.68598e-26               0.065975               0.315398
         200      0.100       0         1.1623e-23               0.016238               0.782706
         200      0.100      15        7.12628e-24               0.011103               0.783984
         200      0.100      30        3.93029e-24               0.010702               0.758661
         200      0.100      45        1.94986e-24               0.014546               0.671953
         200      0.100      60        8.70163e-25               0.027736               0.681652
         200      0.100      75        3.49313e-25               0.072432               0.426068
         300      0.030       0         3.2336e-25               0.002801               0.397508
         300      0.030      15        1.98258e-25               0.001907               0.425304
         300      0.030      30        1.09343e-25               0.001838               0.491996
         300      0.030      45        5.42463e-26               0.002506               0.573118
         300      0.030      60        2.42085e-26               0.004832               0.637760
         300      0.030      75              1e-26               0.013115               0.715192
         300      0.060       0         1.2937e-24               0.010292               0.577075
         300      0.060      15        7.93189e-25               0.007024               0.578206
         300      0.060      30         4.3746e-25               0.006769               0.612084
         300      0.060      45        2.17029e-25               0.009214               0.669173
         300      0.060      60        9.68532e-26               0.017656               0.636740
         300      0.060      75        3.88802e-26               0.046891               0.717891
         300      0.070       0        2.27851e-24               0.013369               0.634103
         300      0.070      15          1.397e-24               0.009133               0.634766
         300      0.070      30        7.70472e-25               0.008802               0.638822
         300      0.070      45         3.8224e-25               0.011972               0.668174
         300      0.070      60        1.70582e-25               0.022883               0.670230
         300      0.070      75        6.84774e-26               0.060243               0.606088
         300      0.075       0        3.08331e-24               0.014757               0.666067
         300      0.075      15        1.89043e-24               0.010085               0.673997
         300      0.075      30        1.04261e-24               0.009720               0.654434
         300      0.075      45        5.17252e-25               0.013217               0.695327
         300      0.075      60        2.30834e-25               0.025233               0.689256
         300      0.075      75        9.26646e-26               0.066169               0.725826
         300      0.080       0         4.2269e-24               0.015946               0.684151
         300      0.080      15        2.59159e-24               0.010902               0.711446
         300      0.080      30        1.42931e-24               0.010508               0.667603
         300      0.080      45        7.09099e-25               0.014284               0.704507
         300      0.080      60        3.16449e-25               0.027243               0.667786
         300      0.080      75        1.27033e-25               0.071202               0.626228
         300      0.100       0        1.69988e-23               0.017599               0.786228
         300      0.100      15        1.04223e-23               0.012039               0.788140
         300      0.100      30        5.74809e-24               0.011604               0.798344
         300      0.100      45        2.85169e-24               0.015767               0.781977
         300      0.100      60        1.27262e-24               0.030031               0.769945
         300      0.100      75        5.10874e-25               0.078128               0.785895
         400      0.030       0        8.06237e-25               0.003239               0.413428
         400      0.030      15        4.94318e-25               0.002205               0.440665
         400      0.030      30        2.72626e-25               0.002125               0.498379
         400      0.030      45        1.35253e-25               0.002897               0.605380
         400      0.030      60        6.03593e-26               0.005584               0.703291
         400      0.030      75        2.42303e-26               0.015140               0.813422
         400      0.060       0        3.22559e-24               0.011886               0.584648
         400      0.060      15        1.97767e-24               0.008116               0.592063
         400      0.060      30        1.09072e-24               0.007821               0.000000
         400      0.060      45        5.41121e-25               0.010642               0.688100
         400      0.060      60        2.41485e-25               0.020366               0.726965
         400      0.060      75        9.69405e-26               0.053843               0.870406
         400      0.070       0        5.68104e-24               0.015432               0.652592
         400      0.070      15        3.48315e-24               0.010549               0.665324
         400      0.070      30        1.92103e-24               0.010167               0.677083
         400      0.070      45        9.53044e-25               0.013822               0.734469
         400      0.070      60        4.25314e-25               0.026374               0.794258
         400      0.070      75        1.70736e-25               0.069031               0.820768
         400      0.075       0        7.68766e-24               0.017030               0.681654
         400      0.075      15        4.71344e-24               0.011647               0.673100
         400      0.075      30        2.59956e-24               0.011226               0.700169
         400      0.075      45        1.28967e-24               0.015256               0.737090
         400      0.075      60        5.75541e-25               0.029072               0.794093
         400      0.075      75        2.31042e-25               0.075752               0.795960
         400      0.080       0         1.0539e-23               0.018398               0.732720
         400      0.080      15        6.46164e-24               0.012589               0.716655
         400      0.080      30        3.56373e-24               0.012134               0.732674
         400      0.080      45          1.768e-24               0.016485               0.763005
         400      0.080      60        7.89006e-25               0.031378               0.770284
         400      0.080      75        3.16734e-25               0.081450               0.811981
         400      0.100       0        4.23833e-23               0.020300               0.769426
         400      0.100      15         2.5986e-23               0.013899               0.790669
         400      0.100      30        1.43318e-23               0.013398               0.796872
         400      0.100      45        7.11016e-24               0.018193               0.804909
         400      0.100      60        3.17304e-24               0.034574               0.782360
         400      0.100      75        1.27377e-24               0.089277               0.689870
