 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        2.72316e-25               0.129124               0.610599
         200      0.030      15        2.48134e-25               0.133383               0.608615
         200      0.030      30        2.30116e-25               0.124796               0.631417
         200      0.030      45        2.17198e-25               0.105462               0.657375
         200      0.030      60        2.08646e-25               0.080034               0.654491
         200      0.030      75        2.03991e-25               0.054187               0.600460
         200      0.060       0         3.9559e-25               0.187671               0.717656
         200      0.060      15        3.60462e-25               0.193433               0.703450
         200      0.060      30        3.34288e-25               0.181791               0.724449
         200      0.060      45        3.15521e-25               0.155193               0.701887
         200      0.060      60        3.03098e-25               0.119374               0.689415
         200      0.060      75        2.96336e-25               0.081955               0.594999
         200      0.070       0        5.18471e-25               0.212022               0.763424
         200      0.070      15        4.72431e-25               0.218330               0.740942
         200      0.070      30        4.38126e-25               0.205571               0.738500
         200      0.070      45         4.1353e-25               0.176244               0.729171
         200      0.070      60        3.97248e-25               0.136350               0.719761
         200      0.070      75        3.88386e-25               0.094179               0.687670
         200      0.075       0        6.10036e-25               0.225185               0.785610
         200      0.075      15        5.55865e-25               0.231770               0.765448
         200      0.075      30        5.15502e-25               0.218445               0.767713
         200      0.075      45        4.86562e-25               0.187715               0.751027
         200      0.075      60        4.67404e-25               0.145683               0.742492
         200      0.075      75        4.56977e-25               0.100963               0.593707
         200      0.080       0        7.30994e-25               0.239021               0.794450
         200      0.080      15        6.66082e-25               0.245883               0.782332
         200      0.080      30        6.17716e-25               0.231991               0.776467
         200      0.080      45        5.83037e-25               0.199843               0.773455
         200      0.080      60        5.60081e-25               0.155616               0.729736
         200      0.080      75        5.47587e-25               0.108233               0.650114
         200      0.100       0        1.80894e-24               0.301176               0.854558
         200      0.100      15        1.64831e-24               0.309097               0.851509
         200      0.100      30        1.52862e-24               0.293022               0.844151
         200      0.100      45         1.4428e-24               0.255227               0.827185
         200      0.100      60          1.386e-24               0.201835               0.780137
         200      0.100      75        1.35508e-24               0.142758               0.718788
         300      0.030       0        1.23125e-24               0.198813               0.634906
         300      0.030      15        1.12192e-24               0.204830               0.625191
         300      0.030      30        1.04045e-24               0.192666               0.640166
         300      0.030      45         9.8204e-25               0.164798               0.651538
         300      0.030      60        9.43374e-25               0.127095               0.643906
         300      0.030      75        9.22328e-25               0.087496               0.578349
         300      0.060       0        1.78862e-24               0.278842               0.742158
         300      0.060      15         1.6298e-24               0.286416               0.755279
         300      0.060      30        1.51145e-24               0.271058               0.741888
         300      0.060      45         1.4266e-24               0.235153               0.724692
         300      0.060      60        1.37043e-24               0.184918               0.679467
         300      0.060      75        1.33986e-24               0.129986               0.646518
         300      0.070       0        2.34422e-24               0.310500               0.793776
         300      0.070      15        2.13605e-24               0.318554               0.799182
