 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        2.09221e-25               0.002582               0.407273
         200      0.030      15        1.47429e-25               0.001758               0.398730
         200      0.030      30        9.18948e-26               0.001693               0.382377
         200      0.030      45        5.06678e-26               0.002309               0.374461
         200      0.030      60        2.47118e-26               0.004454               0.368567
         200      0.030      75        1.06613e-26               0.012097               0.306016
         200      0.060       0        7.33904e-25               0.009491               0.563314
         200      0.060      15         5.1715e-25               0.006476               0.569003
         200      0.060      30        3.22349e-25               0.006240               0.536582
         200      0.060      45        1.77733e-25               0.008496               0.457487
         200      0.060      60        8.66843e-26               0.016291               0.366760
         200      0.060      75        3.73977e-26               0.043365               0.283720
         200      0.070       0        1.20366e-24               0.012331               0.628354
         200      0.070      15        8.48165e-25               0.008421               0.627776
         200      0.070      30        5.28676e-25               0.008116               0.590232
         200      0.070      45        2.91495e-25               0.011042               0.584758
         200      0.070      60        1.42169e-25               0.021123               0.390600
         200      0.070      75         6.1335e-26               0.055772               0.380653
         200      0.075       0        1.56371e-24               0.013613               0.663486
         200      0.075      15        1.10188e-24               0.009300               0.638781
         200      0.075      30        6.86821e-25               0.008963               0.630662
         200      0.075      45        3.78691e-25               0.012191               0.582763
         200      0.075      60        1.84696e-25               0.023296               0.389365
         200      0.075      75        7.96824e-26               0.061287               0.268009
         200      0.080       0        2.05097e-24               0.014711               0.702656
         200      0.080      15        1.44523e-24               0.010054               0.679473
         200      0.080      30        9.00835e-25               0.009690               0.625460
         200      0.080      45        4.96691e-25               0.013176               0.574504
         200      0.080      60        2.42248e-25               0.025156               0.426809
         200      0.080      75        1.04512e-25               0.065975               0.315398
         200      0.100       0        6.67802e-24               0.016238               0.782706
         200      0.100      15        4.70571e-24               0.011103               0.783984
         200      0.100      30        2.93315e-24               0.010702               0.758661
         200      0.100      45        1.61724e-24               0.014546               0.671953
         200      0.100      60        7.88767e-25               0.027736               0.681652
         200      0.100      75        3.40294e-25               0.072432               0.426068
         300      0.030       0        2.83829e-25               0.002801               0.397508
         300      0.030      15        2.00002e-25               0.001907               0.425304
         300      0.030      30        1.24665e-25               0.001838               0.491996
         300      0.030      45        6.87361e-26               0.002506               0.573118
         300      0.030      60        3.35241e-26               0.004832               0.637760
         300      0.030      75        1.44631e-26               0.013115               0.715192
         300      0.060       0        9.95616e-25               0.010292               0.577075
         300      0.060      15        7.01568e-25               0.007024               0.578206
         300      0.060      30        4.37299e-25               0.006769               0.612084
         300      0.060      45        2.41113e-25               0.009214               0.669173
         300      0.060      60        1.17596e-25               0.017656               0.636740
         300      0.060      75        5.07338e-26               0.046891               0.717891
         300      0.070       0        1.63288e-24               0.013369               0.634103
         300      0.070      15        1.15062e-24               0.009133               0.634766
         300      0.070      30        7.17203e-25               0.008802               0.638822
         300      0.070      45        3.95442e-25               0.011972               0.668174
         300      0.070      60        1.92866e-25               0.022883               0.670230
         300      0.070      75        8.32072e-26               0.060243               0.606088
         300      0.075       0        2.12134e-24               0.014757               0.666067
         300      0.075      15        1.49481e-24               0.010085               0.673997
         300      0.075      30        9.31743e-25               0.009720               0.654434
         300      0.075      45        5.13733e-25               0.013217               0.695327
         300      0.075      60        2.50559e-25               0.025233               0.689256
         300      0.075      75        1.08097e-25               0.066169               0.725826
         300      0.080       0        2.78235e-24               0.015946               0.684151
         300      0.080      15         1.9606e-24               0.010902               0.711446
         300      0.080      30        1.22208e-24               0.010508               0.667603
         300      0.080      45        6.73813e-25               0.014284               0.704507
         300      0.080      60        3.28634e-25               0.027243               0.667786
         300      0.080      75        1.41781e-25               0.071202               0.626228
         300      0.100       0        9.05942e-24               0.017599               0.786228
         300      0.100      15        6.38378e-24               0.012039               0.788140
         300      0.100      30        3.97912e-24               0.011604               0.798344
         300      0.100      45        2.19396e-24               0.015767               0.781977
         300      0.100      60        1.07004e-24               0.030031               0.769945
         300      0.100      75        4.61643e-25               0.078128               0.785895
         400      0.030       0        7.60928e-25               0.003239               0.413428
         400      0.030      15        5.36193e-25               0.002205               0.440665
         400      0.030      30        3.34218e-25               0.002125               0.498379
         400      0.030      45        1.84277e-25               0.002897               0.605380
         400      0.030      60        8.98761e-26               0.005584               0.703291
         400      0.030      75        3.87748e-26               0.015140               0.813422
         400      0.060       0        2.66918e-24               0.011886               0.584648
         400      0.060      15        1.88086e-24               0.008116               0.592063
         400      0.060      30        1.17237e-24               0.007821               0.000000
         400      0.060      45        6.46408e-25               0.010642               0.688100
         400      0.060      60        3.15268e-25               0.020366               0.726965
         400      0.060      75        1.36014e-25               0.053843               0.870406
         400      0.070       0        4.37766e-24               0.015432               0.652592
         400      0.070      15        3.08475e-24               0.010549               0.665324
         400      0.070      30        1.92278e-24               0.010167               0.677083
         400      0.070      45        1.06016e-24               0.013822               0.734469
         400      0.070      60        5.17062e-25               0.026374               0.794258
         400      0.070      75        2.23073e-25               0.069031               0.820768
         400      0.075       0        5.68717e-24               0.017030               0.681654
         400      0.075      15         4.0075e-24               0.011647               0.673100
         400      0.075      30        2.49794e-24               0.011226               0.700169
         400      0.075      45        1.37728e-24               0.015256               0.737090
         400      0.075      60        6.71733e-25               0.029072               0.794093
         400      0.075      75        2.89802e-25               0.075752               0.795960
         400      0.080       0         7.4593e-24               0.018398               0.732720
         400      0.080      15        5.25624e-24               0.012589               0.716655
         400      0.080      30        3.27631e-24               0.012134               0.732674
         400      0.080      45        1.80645e-24               0.016485               0.763005
         400      0.080      60        8.81046e-25               0.031378               0.770284
         400      0.080      75        3.80105e-25               0.081450               0.811981
         400      0.100       0        2.42877e-23               0.020300               0.769426
         400      0.100      15        1.71145e-23               0.013899               0.790669
         400      0.100      30        1.06678e-23               0.013398               0.796872
         400      0.100      45        5.88186e-24               0.018193               0.804909
         400      0.100      60        2.86872e-24               0.034574               0.782360
         400      0.100      75        1.23764e-24               0.089277               0.689870
