 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        2.66176e-25               0.127031               0.609822
         200      0.030      15        2.43458e-25               0.131125               0.606547
         200      0.030      30        2.22872e-25               0.121297               0.632069
         200      0.030      45        2.04204e-25               0.100205               0.650613
         200      0.030      60        1.87262e-25               0.073422               0.641749
         200      0.030      75        1.71876e-25               0.047372               0.577484
         200      0.060       0        3.88189e-25               0.189186               0.716865
         200      0.060      15        3.55056e-25               0.194837               0.703005
         200      0.060      30        3.25033e-25               0.181229               0.719553
         200      0.060      45        2.97808e-25               0.151513               0.693600
         200      0.060      60        2.73101e-25               0.112734               0.669182
         200      0.060      75        2.50662e-25               0.073848               0.563265
         200      0.070       0        5.22603e-25               0.215126               0.762314
         200      0.070      15        4.77998e-25               0.221340               0.741532
         200      0.070      30         4.3758e-25               0.206355               0.734396
         200      0.070      45        4.00928e-25               0.173391               0.720946
         200      0.070      60        3.67666e-25               0.129870               0.707630
         200      0.070      75        3.37456e-25               0.085644               0.641722
         200      0.075       0         6.2619e-25               0.229150               0.784407
         200      0.075      15        5.72743e-25               0.235647               0.764474
         200      0.075      30        5.24314e-25               0.219968               0.765597
         200      0.075      45        4.80397e-25               0.185337               0.741146
         200      0.075      60        4.40542e-25               0.139323               0.717662
         200      0.075      75        4.04344e-25               0.092219               0.560077
         200      0.080       0        7.66573e-25               0.243888               0.794643
         200      0.080      15        7.01144e-25               0.250667               0.782397
         200      0.080      30        6.41858e-25               0.234294               0.775128
         200      0.080      45        5.88096e-25               0.197981               0.765810
         200      0.080      60        5.39305e-25               0.149403               0.704360
         200      0.080      75        4.94993e-25               0.099284               0.600967
         200      0.100       0        2.13341e-24               0.309935               0.855847
         200      0.100      15        1.95132e-24               0.317779               0.852500
         200      0.100      30        1.78632e-24               0.298771               0.843568
         200      0.100      45         1.6367e-24               0.255802               0.824274
         200      0.100      60        1.50091e-24               0.196514               0.772376
         200      0.100      75        1.37759e-24               0.133063               0.690113
         300      0.030       0        1.24139e-24               0.195059               0.628824
         300      0.030      15        1.13544e-24               0.200842               0.623492
         300      0.030      30        1.03943e-24               0.186912               0.634412
         300      0.030      45        9.52366e-25               0.156442               0.636415
         300      0.030      60        8.73354e-25               0.116575               0.623466
         300      0.030      75        8.01595e-25               0.076479               0.558405
         300      0.060       0        1.81043e-24               0.279831               0.739214
         300      0.060      15        1.65591e-24               0.287230               0.748868
         300      0.060      30        1.51589e-24               0.269328               0.732584
         300      0.060      45        1.38892e-24               0.229209               0.706821
         300      0.060      60        1.27369e-24               0.174638               0.644317
         300      0.060      75        1.16904e-24               0.117220               0.606830
         300      0.070       0        2.43732e-24               0.313395               0.789260
         300      0.070      15        2.22929e-24               0.321286               0.793796
         300      0.070      30        2.04079e-24               0.302161               0.787560
         300      0.070      45        1.86985e-24               0.258885               0.739442
         300      0.070      60        1.71472e-24               0.199073               0.685542
         300      0.070      75        1.57383e-24               0.134935               0.574029
         300      0.075       0        2.92043e-24               0.331123               0.828793
         300      0.075      15        2.67116e-24               0.339239               0.810180
         300      0.075      30         2.4453e-24               0.319548               0.770115
         300      0.075      45        2.24048e-24               0.274763               0.757697
         300      0.075      60         2.0546e-24               0.212333               0.670777
         300      0.075      75        1.88578e-24               0.144695               0.500382
         300      0.080       0        3.57515e-24               0.349446               0.832156
         300      0.080      15           3.27e-24               0.357771               0.815905
         300      0.080      30         2.9935e-24               0.337554               0.769499
         300      0.080      45        2.74276e-24               0.291325               0.771863
         300      0.080      60        2.51521e-24               0.226307               0.694491
         300      0.080      75        2.30855e-24               0.155094               0.524814
         300      0.100       0         9.9498e-24               0.427902               0.882158
         300      0.100      15        9.10056e-24               0.436841               0.887960
         300      0.100      30        8.33105e-24               0.415044               0.869652
         300      0.100      45        7.63323e-24               0.364034               0.854156
         300      0.100      60        6.99995e-24               0.289416               0.794109
         300      0.100      75         6.4248e-24               0.203569               0.583004
         400      0.030       0        1.50692e-23               0.312171               0.555173
